type,,,G1,G1.95.0%-CI.lowerBound,G1.95.0%-CI.upperBound,LXR,LXR.95.0%-CI.lowerBound,LXR.95.0%-CI.upperBound,Shen,Shen.95.0%-CI.lowerBound,Shen.95.0%-CI.upperBound,ZGC,ZGC.95.0%-CI.lowerBound,ZGC.95.0%-CI.upperBound
data,miss,avrora,1,0.982133392,1.01819163,0.951230353,0.935928246,0.96684163,1.033703851,1.01890504,1.04883864,,,
data,miss,batik,1,0.994124279,1.005910449,1.008293747,1.0027925,1.013830009,0.997154698,0.991981945,1.00236208,,,
data,miss,biojava,1,0.99493658,1.005089189,0.942793733,0.937847603,0.947764157,1.63701729,1.626553596,1.647523167,,,
data,miss,cassandra,1,0.995481948,1.004538558,0.978363812,0.97398753,0.982760156,1.107929223,1.101764474,1.114116691,,,
data,miss,eclipse,1,0.970866766,1.030007448,1.027549631,0.960897147,1.095100414,1.010020688,0.98906013,1.031864219,,,
data,miss,fop,1,0.976641329,1.023917348,0.93228588,0.916016298,0.94907631,1.505016722,1.463581678,1.547292586,,,
data,miss,graphchi,1,0.98813623,1.012006209,0.917857437,0.903836618,0.932008994,1.913624339,1.858167861,1.969353391,,,
data,full,h2,1,0.989797392,1.010307774,0.965185792,0.956504312,0.973968777,2.974884969,2.950251044,2.999831752,9.989249127,9.828049343,10.15150131
data,miss,h2o,1,0.983060849,1.01723103,0.906918847,0.894401529,0.919700875,1.874408435,1.84087377,1.908490201,,,
data,miss,jme,1,0.99843787,1.001564574,0.997580215,0.995709429,0.99945344,1.00385874,1.002416951,1.005302982,,,
data,miss,jython,1,0.995326897,1.004695044,0.952354297,0.947260463,0.957469027,1.797771798,1.776242975,1.819340065,,,
data,full,kafka,1,0.931137937,1.073954739,1.084823333,0.925266843,1.249904477,0.989887657,0.919756738,1.065059753,1.019886925,0.949506816,1.095470243
data,miss,luindex,1,0.992221832,1.007839142,0.934045333,0.926585815,0.941561804,1.074504834,1.064823412,1.084251773,,,
data,miss,lusearch,1,0.987091469,1.01307734,0.72448255,0.717451602,0.731635568,11.28768758,11.15494971,11.42232735,,,
data,miss,pmd,1,0.984984756,1.015244139,0.897846637,0.88628321,0.909615942,1.734285199,1.710233725,1.758733641,,,
data,miss,spring,1,0.991051572,1.009029225,0.935277261,0.926929125,0.943700966,3.491634695,3.444513304,3.539038202,,,
data,miss,sunflow,1,0.9523455,1.050039088,0.643141251,0.603100648,0.684712602,6.878310848,6.594598506,7.178394347,,,
data,miss,tomcat,1,0.993556685,1.006485101,1.004220789,0.998584309,1.009899231,2.538691847,2.513471101,2.564018674,,,
data,miss,tradebeans,1,0.988477244,1.011657078,1.062860318,1.050140957,1.075722444,1.079358139,1.065240326,1.093620934,,,
data,miss,tradesoap,1,0.989861221,1.010242626,0.959140898,0.951182643,0.967198934,1.155579721,1.141590435,1.16968901,,,
data,miss,xalan,1,0.992868909,1.007182308,0.448915854,0.446339117,0.451515584,7.573668495,7.50300802,7.644716876,,,
data,miss,zxing,1,0.962028,1.039470785,0.955967654,0.923794708,0.989573389,1.06129386,1.028747034,1.095431336,,,
data,full,,,,,,,,,,,,,
agg,full,min,1,1,1,0.965186,0.965186,0.965186,0.989888,0.989888,0.989888,1.019887,1.019887,1.019887
agg,full,max,1,1,1,1.084823,1.084823,1.084823,2.974885,2.974885,2.974885,9.989249,9.989249,9.989249
agg,full,mean,1,1,1,1.025005,1.025005,1.025005,1.982386,1.982386,1.982386,5.504568,5.504568,5.504568
agg,full,geomean,1,1,1,1.023258,1.023258,1.023258,1.716043,1.716043,1.716043,3.19185,3.19185,3.19185